head,tail,head_id,tail_id,shortest_length
DB11606,P0AC44,0,7344,11
DB11606,P17443,0,7442,11
DB11606,P0A9E0,0,7606,11
DB11606,P07014,0,7794,11
DB11606,P26196,0,7924,11
DB11606,O14957,0,8134,11
DB11606,P16384,0,8207,11
DB11606,Q96BH3,0,8287,11
DB11606,P08192,0,8329,11
DB11606,Q9NWT6,0,8367,11
DB11606,P69054,0,8456,11
DB11606,P29459,0,8477,11
DB11606,P37672,0,8487,11
DB11606,P51679,0,8497,11
DB11606,P0AC41,0,9007,11
DB11606,P9WPB7,0,9160,11
DB11606,P36404,0,9195,11
DB11606,P03023,0,9259,11
DB11606,P08048,0,9309,11
DB11606,Q9HB40,0,9336,11
DB11606,Q9NZQ7,0,9579,11
DB11606,P02925,0,9744,11
DB11606,P33316,0,9915,11
DB11606,P21283,0,9943,11
DB11606,Q14145,0,10216,11
DB11606,Q9NP99,0,10246,11
DB11606,P9WNX3,0,10328,11
DB01776,P36404,2,9195,11
DB01776,P08048,2,9309,11
DB01776,Q9NZQ7,2,9579,11
DB03396,P0AC44,6,7344,11
DB03396,P17443,6,7442,11
DB03396,P0A9E0,6,7606,11
DB03396,P07014,6,7794,11
DB03396,P40871,6,7849,11
DB03396,P26196,6,7924,11
DB03396,O14957,6,8134,11
DB03396,P08192,6,8329,11
DB03396,Q9NWT6,6,8367,11
DB03396,P69054,6,8456,11
DB03396,P37672,6,8487,11
DB03396,P51679,6,8497,11
DB03396,P02461,6,8753,11
DB03396,P04211,6,8842,11
DB03396,P0AC41,6,9007,11
DB03396,P36404,6,9195,11
DB03396,P08048,6,9309,11
DB03396,Q9NZQ7,6,9579,11
DB03396,P08123,6,9691,11
DB03396,P02925,6,9744,11
DB03396,P21283,6,9943,11
DB03396,P02458,6,10183,11
DB03396,Q14145,6,10216,11
DB03396,Q9NP99,6,10246,11
DB03396,P0AGC3,6,10275,11
DB03396,P9WNX3,6,10328,11
DB00147,P0AC44,10,7344,11
DB00147,P07014,10,7794,11
DB00147,O14957,10,8134,11
DB00147,P08192,10,8329,11
DB00147,P69054,10,8456,11
DB00147,P51679,10,8497,11
DB00147,P0AC41,10,9007,11
DB00147,P36404,10,9195,11
DB00147,Q9NZQ7,10,9579,11
DB00147,P02925,10,9744,11
DB03499,P36404,20,9195,11
DB03499,Q9NZQ7,20,9579,11
DB03499,P02925,20,9744,11
DB00081,P02925,28,9744,11
DB07525,P02925,32,9744,11
DB07086,P36404,33,9195,11
DB08066,P40871,38,7849,11
DB08066,P04211,38,8842,11
DB08066,P0AGC3,38,10275,11
DB04893,P0A9E0,39,7606,11
DB04893,P40871,39,7849,11
DB04893,P51679,39,8497,11
DB04893,P04211,39,8842,11
DB04893,P36404,39,9195,11
DB04893,Q9HB40,39,9336,11
DB04893,Q9NZQ7,39,9579,11
DB04893,P02925,39,9744,11
DB04893,P9WIB9,39,10033,11
DB04893,P0A9J8,39,10157,11
DB04893,P0AGC3,39,10275,11
DB00167,P36404,40,9195,11
DB02595,P20248,44,7058,11
DB02595,P14900,44,7191,11
DB02595,P0AC44,44,7344,11
DB02595,P0AEK7,44,7353,11
DB02595,Q16706,44,7381,11
DB02595,P50391,44,7384,11
DB02595,P9WFF7,44,7440,11
DB02595,P17443,44,7442,11
DB02595,P0A9E0,44,7606,11
DB02595,P39377,44,7682,11
DB02595,P07014,44,7794,11
DB02595,P0A8Q0,44,7859,11
DB02595,P26196,44,7924,11
DB02595,Q9HCP0,44,8046,11
DB02595,P33681,44,8062,11
DB02595,O14957,44,8134,11
DB02595,P0AAJ3,44,8150,11
DB02595,P16384,44,8207,11
DB02595,Q96BH3,44,8287,11
DB02595,P08192,44,8329,13
DB02595,Q9NWT6,44,8367,11
DB02595,Q01726,44,8428,11
DB02595,P69054,44,8456,11
DB02595,P49789,44,8474,11
DB02595,P29459,44,8477,11
DB02595,P37672,44,8487,11
DB02595,P51679,44,8497,11
DB02595,P36894,44,8554,11
DB02595,P53582,44,8607,11
DB02595,Q15761,44,8641,11
DB02595,Q9NSD5,44,8726,11
DB02595,P0AC47,44,8754,11
DB02595,P41968,44,8846,11
DB02595,P22188,44,8864,11
DB02595,Q99062,44,8918,11
DB02595,P0AC41,44,9007,11
DB02595,P17213,44,9013,11
DB02595,P20594,44,9119,11
DB02595,Q86YT5,44,9155,11
DB02595,P9WPB7,44,9160,11
DB02595,P36404,44,9195,11
DB02595,P27930,44,9229,11
DB02595,P03023,44,9259,11
DB02595,P0A8Q3,44,9264,11
DB02595,Q16644,44,9299,11
DB02595,P08048,44,9309,11
DB02595,Q9HB40,44,9336,11
DB02595,P24183,44,9376,11
DB02595,P62623,44,9377,11
DB02595,P19622,44,9437,11
DB02595,P32245,44,9451,11
DB02595,P17342,44,9453,11
DB02595,Q15648,44,9570,11
DB02595,Q9NZQ7,44,9579,13
DB02595,Q9NQS7,44,9600,11
DB02595,P60906,44,9621,11
DB02595,P53007,44,9721,11
DB02595,P37551,44,9729,11
DB02595,P02925,44,9744,13
DB02595,P25929,44,9800,11
DB02595,P62617,44,9887,11
DB02595,P33316,44,9915,11
DB02595,P21283,44,9943,11
DB02595,Q03426,44,9967,11
DB02595,Q9BQT8,44,10103,11
DB02595,P36946,44,10124,11
DB02595,O60911,44,10153,11
DB02595,Q14145,44,10216,11
DB02595,Q9BVJ7,44,10237,11
DB02595,Q9NP99,44,10246,11
DB02595,P33032,44,10247,11
DB02595,P9WNX3,44,10328,11
DB02595,Q09013,44,10384,11
DB02595,P48065,44,10390,11
DB02595,P13861,44,10403,11
DB02595,Q13907,44,10472,11
DB02559,P36404,46,9195,11
DB02559,P02925,46,9744,11
DB06159,P02925,48,9744,11
DB00095,P02925,50,9744,11
DB04268,P08192,58,8329,11
DB04268,P51679,58,8497,11
DB04268,P36404,58,9195,11
DB04268,P08048,58,9309,11
DB04268,Q9NZQ7,58,9579,11
DB04268,P02925,58,9744,11
DB11584,P02925,59,9744,11
DB07556,P0AC44,61,7344,11
DB07556,Q16706,61,7381,11
DB07556,P50391,61,7384,11
DB07556,P17443,61,7442,11
DB07556,P0A9E0,61,7606,11
DB07556,P07014,61,7794,11
DB07556,P26196,61,7924,11
DB07556,O14957,61,8134,11
DB07556,P16384,61,8207,11
DB07556,P08192,61,8329,11
